status,product_area,response,justification,request_type
"escalated","account-access","This issue has been flagged and escalated to our specialist team. A human agent will contact you shortly.","Ticket involves lost/suspended account access — requires identity verification by support staff.","account_access"
"escalated","billing/financial","This issue has been flagged and escalated to our specialist team. A human agent will contact you shortly.","Ticket involves billing, payment disputes, or refund requests — requires human financial review.","billing"
"escalated","billing/financial","This issue has been flagged and escalated to our specialist team. A human agent will contact you shortly.","Ticket involves billing, payment disputes, or refund requests — requires human financial review.","billing"
"escalated","billing/financial","This issue has been flagged and escalated to our specialist team. A human agent will contact you shortly.","Ticket involves billing, payment disputes, or refund requests — requires human financial review.","billing"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"escalated","fraud/identity","This issue has been flagged and escalated to our specialist team. A human agent will contact you shortly.","Ticket involves potential fraud or identity theft — requires immediate security escalation.","security"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"escalated","billing/financial","This issue has been flagged and escalated to our specialist team. A human agent will contact you shortly.","Ticket involves billing, payment disputes, or refund requests — requires human financial review.","billing"
"escalated","security-vulnerability","This issue has been flagged and escalated to our specialist team. A human agent will contact you shortly.","Ticket reports a security vulnerability — routed to security/bug-bounty team.","account_access"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"escalated","urgent-financial","This issue has been flagged and escalated to our specialist team. A human agent will contact you shortly.","Ticket involves an urgent financial request — requires human authorization.","account_access"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"escalated","destructive-command","This issue has been flagged and escalated to our specialist team. A human agent will contact you shortly.","Ticket requests destructive operations — escalated per security policy.","account_access"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"
"replied","general","Thank you for your inquiry. We are looking into this and will get back to you soon.","Mock response for testing purposes.","general"